Row (x), Pitch (Y), Yaw (Z), Time (s)
3.32,8.46,2.88,41.03
4.84,12.33,2.15,41.13
5.08,-2.75,-0.57,41.24
6.49,13.59,0.35,41.34
6.54,-5.72,0.38,41.45
5.75,5.75,-0.56,41.55
6.63,8.74,-2.02,41.65
4.48,11.13,-7.58,41.92
5.44,-0.85,-2.65,42.03
6.56,12.32,-2.58,42.13
3.85,1.87,-6.37,42.23
6.65,19.44,-4.74,42.34
9.66,-0.81,-5.92,42.44
6.33,7.87,-3.32,42.54
5.94,12.30,-5.02,42.65
5.46,0.72,-2.26,42.75
5.63,12.90,-0.73,42.86
6.22,17.45,-0.75,43.13
5.60,-2.89,-1.82,43.23
7.73,14.62,1.37,43.34
7.86,2.73,-0.94,43.44
5.20,6.47,2.82,43.54
4.65,13.37,0.92,43.65
5.00,-1.39,2.40,43.75
4.82,13.09,2.62,43.85
3.28,-2.89,5.35,43.96
6.60,1.40,5.97,44.06
1.16,17.02,14.10,44.33
2.52,6.91,9.74,44.43
3.83,2.02,13.31,44.54
5.31,10.57,11.13,44.64
5.42,-2.18,7.22,44.74
7.59,16.40,6.85,44.85
8.81,0.49,5.25,44.95
7.21,6.49,3.80,45.06
6.57,9.94,1.57,45.16
5.48,1.03,2.17,45.26
5.79,-0.90,1.54,45.52
5.09,13.06,2.55,45.63
6.39,-2.29,-0.74,45.73
4.13,18.01,1.84,45.84
3.75,7.39,-1.28,45.94
3.05,7.88,2.75,46.04
4.33,13.98,1.39,46.15
4.83,-1.62,0.49,46.25
5.05,13.20,1.33,46.36
4.67,-6.19,2.27,46.46
5.56,-1.52,1.78,46.72
3.68,13.19,8.54,46.83
4.84,3.35,4.24,46.93
5.55,-2.95,6.77,47.04
6.57,11.29,5.15,47.14
6.14,-1.13,3.23,47.24
6.97,16.53,4.68,47.35
6.22,-1.57,1.84,47.45
7.13,6.45,3.49,47.56
5.87,12.83,1.00,47.66
10.06,17.41,-4.72,47.92
6.31,7.36,-3.90,48.03
4.63,14.03,-1.17,48.13
5.64,3.02,-5.44,48.23
6.74,18.47,-1.03,48.34
4.47,5.39,-3.33,48.44
4.32,0.68,1.58,48.54
6.60,9.06,1.41,48.65
5.41,-3.38,-0.25,48.75
7.46,14.82,0.41,48.86
5.80,11.12,5.49,49.13
2.66,5.54,5.29,49.23
2.38,12.09,9.51,49.33
4.16,8.74,4.85,49.44
5.69,-1.70,6.60,49.54
6.49,11.31,5.88,49.65
5.52,0.68,3.11,49.75
8.68,19.18,3.60,49.85
7.93,0.75,1.78,49.96
4.63,9.24,3.25,50.06
2.46,10.08,0.72,50.32
4.77,15.01,-1.54,50.42
4.45,5.05,1.26,50.53
5.35,12.38,3.71,50.63
7.60,2.29,3.30,50.74
4.19,14.40,9.48,50.84
4.97,4.64,5.65,50.94
5.19,-1.51,8.68,51.05
6.30,11.17,7.38,51.15
5.21,-0.61,3.99,51.26
5.99,-8.98,7.60,51.52
5.34,12.38,6.28,51.62
3.67,-1.19,9.07,51.73
5.26,4.72,6.95,51.83
7.03,10.82,1.97,51.93
5.51,5.36,2.14,52.04
4.80,14.49,2.97,52.14
5.90,2.14,-0.99,52.24
8.57,16.96,-1.18,52.35
1.68,14.00,-4.17,52.45
9.34,-2.08,-4.32,52.72
7.10,9.99,-2.81,52.82
5.38,14.95,-2.37,52.92
4.53,3.43,1.06,53.03
5.24,8.72,3.37,53.13
2.73,1.14,3.34,53.24
0.26,4.95,8.71,53.34
5.62,4.77,4.73,53.44
6.46,-1.93,5.66,53.55
6.45,13.00,4.53,53.65
5.72,15.13,1.49,53.91
5.53,-3.22,0.87,54.02
5.92,15.76,1.73,54.12
6.93,-4.09,1.87,54.22
