Roll (x), Pitch (Y), Yaw (Z), Time (s)
7.05,28.62,-18.22,48.78
7.30,-11.33,12.36,48.89
7.92,29.55,-106.56,49.01
6.67,-9.02,15.38,49.12
9.27,20.85,-147.85,49.24
6.99,-10.42,44.88,49.35
9.31,9.66,-128.39,49.46
6.34,-6.99,92.11,49.58
9.17,7.27,-59.67,49.69
5.93,-3.68,127.19,49.81
9.15,9.37,5.88,49.92
6.09,0.22,160.50,50.03
9.09,6.67,61.67,50.15
6.54,6.90,205.64,50.26
9.64,2.06,150.21,50.38
7.09,12.48,200.47,50.49
9.14,-0.97,212.00,50.60
6.80,10.66,167.84,50.72
7.65,-1.12,182.50,50.83
8.05,14.73,99.83,50.94
6.71,-0.75,188.50,51.06
8.46,17.10,54.57,51.17
6.28,-3.76,147.61,51.29
9.13,18.74,13.12,51.40
6.50,-3.16,115.28,51.51
10.18,16.23,5.32,51.63
5.82,-5.30,110.48,51.74
10.95,18.38,27.39,51.86
5.48,-4.69,70.91,51.97
10.41,18.00,34.03,52.08
5.28,-6.04,40.71,52.20
10.65,18.94,87.66,52.31
5.58,-6.06,83.06,52.43
9.67,21.01,149.35,52.54
6.41,-8.06,84.30,52.65
8.94,23.84,159.76,52.77
7.42,-12.25,57.74,52.88
7.26,27.02,112.26,53.00
7.14,-11.99,44.08,53.11
6.83,28.80,131.75,53.22
7.71,-14.29,93.58,53.34
7.74,28.32,64.22,53.45
7.63,-12.09,141.93,53.57
8.80,18.26,-11.93,53.68
7.33,-11.12,107.47,53.79
8.80,24.98,-83.63,53.91
6.26,-7.97,63.57,54.02
9.08,17.51,-111.54,54.14
6.24,-4.79,86.85,54.25
9.45,10.87,-69.33,54.37
5.85,0.97,157.99,54.48
9.08,5.36,-9.95,54.59
5.87,-2.26,144.37,54.71
8.88,4.33,47.30,54.82
5.73,3.89,125.86,54.94
8.67,-0.45,51.85,55.05
6.27,8.22,100.07,55.16
8.26,-1.87,120.04,55.28
7.38,13.38,161.72,55.39
8.56,-1.66,216.13,55.51
8.06,16.42,133.93,55.62
7.78,-1.16,188.62,55.73
8.95,18.05,88.10,55.85
6.52,-3.06,188.63,55.96
10.57,18.19,37.85,56.08
5.74,-2.18,165.45,56.19
9.55,18.98,36.87,56.30
5.42,-3.23,127.12,56.42
10.34,18.27,55.04,56.53
5.50,-5.58,99.38,56.65
10.35,18.82,88.98,56.76
5.32,-6.44,95.21,56.87
9.95,20.73,86.61,56.99
4.97,-5.70,47.06,57.10
9.54,21.76,114.46,57.22
5.81,-7.30,22.30,57.33
7.44,26.97,150.09,57.44
6.91,-10.86,57.00,57.56
7.94,26.86,142.68,57.67
7.17,-10.51,64.14,57.78
6.99,29.91,59.59,57.90
7.64,-13.00,25.91,58.01
6.97,30.21,-41.80,58.13
7.28,-11.29,5.75,58.24
7.78,26.45,-109.65,58.35
7.21,-11.46,25.49,58.47
8.45,18.78,-55.55,58.58
6.92,-8.23,89.61,58.70
9.60,11.52,-77.54,58.81
6.65,-7.02,107.38,58.92
9.16,5.96,-72.72,59.04
5.80,-4.71,105.36,59.15
9.21,7.66,-31.17,59.27
5.90,0.93,134.95,59.38
8.65,5.17,90.81,59.49
6.43,7.03,198.82,59.61
9.52,3.20,170.59,59.72
7.04,12.38,206.01,59.84
8.89,-0.54,211.36,59.95
6.68,9.68,170.83,60.06
